@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,100,0,100,0,1,1,0.5,1,0.5,0.666667,1,1,0.029759
1,100,0,99,1,0.99,1,0.502513,1,0.497487,0.668896,0.995,1.005025,0.03017
2,100,0,98,2,0.98,1,0.505051,1,0.494949,0.671141,0.99,1.010101,0.034712
3,100,0,97,3,0.97,1,0.507614,1,0.492386,0.673401,0.985,1.015228,0.043189
4,100,0,96,4,0.96,1,0.510204,1,0.489796,0.675676,0.98,1.020408,0.055565
5,100,0,95,5,0.95,1,0.512821,1,0.487179,0.677966,0.975,1.025641,0.059295
6,100,0,94,6,0.94,1,0.515464,1,0.484536,0.680272,0.97,1.030928,0.064468
7,100,0,93,7,0.93,1,0.518135,1,0.481865,0.682594,0.965,1.036269,0.06497
8,100,0,92,8,0.92,1,0.520833,1,0.479167,0.684932,0.96,1.041667,0.069907
9,100,0,91,9,0.91,1,0.52356,1,0.47644,0.687285,0.955,1.04712,0.073204
10,100,0,90,10,0.9,1,0.526316,1,0.473684,0.689655,0.95,1.052632,0.074864
11,100,0,89,11,0.89,1,0.529101,1,0.470899,0.692042,0.945,1.058201,0.076687
12,100,0,88,12,0.88,1,0.531915,1,0.468085,0.694444,0.94,1.06383,0.07809
13,100,0,87,13,0.87,1,0.534759,1,0.465241,0.696864,0.935,1.069519,0.078649
14,100,0,86,14,0.86,1,0.537634,1,0.462366,0.699301,0.93,1.075269,0.080424
15,100,0,85,15,0.85,1,0.540541,1,0.459459,0.701754,0.925,1.081081,0.091236
16,100,0,84,16,0.84,1,0.543478,1,0.456522,0.704225,0.92,1.086957,0.09135
17,100,0,83,17,0.83,1,0.546448,1,0.453552,0.706714,0.915,1.092896,0.098648
18,100,0,82,18,0.82,1,0.549451,1,0.450549,0.70922,0.91,1.098901,0.099762
19,100,0,81,19,0.81,1,0.552486,1,0.447514,0.711744,0.905,1.104972,0.101511
20,100,0,80,20,0.8,1,0.555556,1,0.444444,0.714286,0.9,1.111111,0.103554
21,100,0,79,21,0.79,1,0.558659,1,0.441341,0.716846,0.895,1.117318,0.110817
22,100,0,78,22,0.78,1,0.561798,1,0.438202,0.719424,0.89,1.123596,0.111803
23,100,0,77,23,0.77,1,0.564972,1,0.435028,0.722022,0.885,1.129944,0.112953
24,100,0,76,24,0.76,1,0.568182,1,0.431818,0.724638,0.88,1.136364,0.117005
25,100,0,75,25,0.75,1,0.571429,1,0.428571,0.727273,0.875,1.142857,0.120543
26,100,0,74,26,0.74,1,0.574713,1,0.425287,0.729927,0.87,1.149425,0.120953
27,100,0,73,27,0.73,1,0.578035,1,0.421965,0.732601,0.865,1.156069,0.121223
28,100,0,72,28,0.72,1,0.581395,1,0.418605,0.735294,0.86,1.162791,0.125124
29,100,0,71,29,0.71,1,0.584795,1,0.415205,0.738007,0.855,1.169591,0.130617
30,100,0,70,30,0.7,1,0.588235,1,0.411765,0.740741,0.85,1.176471,0.139257
31,100,0,69,31,0.69,1,0.591716,1,0.408284,0.743494,0.845,1.183432,0.141487
32,100,0,68,32,0.68,1,0.595238,1,0.404762,0.746269,0.84,1.190476,0.153826
33,100,0,67,33,0.67,1,0.598802,1,0.401198,0.749064,0.835,1.197605,0.158958
34,100,0,66,34,0.66,1,0.60241,1,0.39759,0.75188,0.83,1.204819,0.163531
35,100,0,65,35,0.65,1,0.606061,1,0.393939,0.754717,0.825,1.212121,0.165514
36,100,0,64,36,0.64,1,0.609756,1,0.390244,0.757576,0.82,1.219512,0.167871
37,100,0,63,37,0.63,1,0.613497,1,0.386503,0.760456,0.815,1.226994,0.168414
38,100,0,62,38,0.62,1,0.617284,1,0.382716,0.763359,0.81,1.234568,0.170995
39,100,0,61,39,0.61,1,0.621118,1,0.378882,0.766284,0.805,1.242236,0.174633
40,100,0,60,40,0.6,1,0.625,1,0.375,0.769231,0.8,1.25,0.176992
41,100,0,59,41,0.59,1,0.628931,1,0.371069,0.772201,0.795,1.257862,0.179133
42,100,0,58,42,0.58,1,0.632911,1,0.367089,0.775194,0.79,1.265823,0.18151
43,100,0,57,43,0.57,1,0.636943,1,0.363057,0.77821,0.785,1.273885,0.190866
44,100,0,56,44,0.56,1,0.641026,1,0.358974,0.78125,0.78,1.282051,0.19088
45,100,0,55,45,0.55,1,0.645161,1,0.354839,0.784314,0.775,1.290323,0.194856
46,100,0,54,46,0.54,1,0.649351,1,0.350649,0.787402,0.77,1.298701,0.206072
47,100,0,53,47,0.53,1,0.653595,1,0.346405,0.790514,0.765,1.30719,0.215889
48,100,0,52,48,0.52,1,0.657895,1,0.342105,0.793651,0.76,1.315789,0.218547
49,100,0,51,49,0.51,1,0.662252,1,0.337748,0.796813,0.755,1.324503,0.224764
50,100,0,50,50,0.5,1,0.666667,1,0.333333,0.8,0.75,1.333333,0.226186
51,100,0,49,51,0.49,1,0.671141,1,0.328859,0.803213,0.745,1.342282,0.234953
52,100,0,48,52,0.48,1,0.675676,1,0.324324,0.806452,0.74,1.351351,0.240281
53,100,0,47,53,0.47,1,0.680272,1,0.319728,0.809717,0.735,1.360544,0.242291
54,100,0,46,54,0.46,1,0.684932,1,0.315068,0.813008,0.73,1.369863,0.242719
55,100,0,45,55,0.45,1,0.689655,1,0.310345,0.816327,0.725,1.37931,0.244054
56,100,0,44,56,0.44,1,0.694444,1,0.305556,0.819672,0.72,1.388889,0.244064
57,100,0,43,57,0.43,1,0.699301,1,0.300699,0.823045,0.715,1.398601,0.244717
