@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,100,0,100,0,1,1,0.5,1,0.5,0.666667,1,1,0.000138
1,99,1,100,0,1,0.99,0.497487,0.99,0.502513,0.662207,0.995,0.994975,0.000226
2,99,1,99,1,0.99,0.99,0.5,0.99,0.5,0.66443,0.99,1,0.000331
3,99,1,98,2,0.98,0.99,0.502538,0.99,0.497462,0.666667,0.985,1.005076,0.000359
4,99,1,97,3,0.97,0.99,0.505102,0.99,0.494898,0.668919,0.98,1.010204,0.001357
5,99,1,96,4,0.96,0.99,0.507692,0.99,0.492308,0.671186,0.975,1.015385,0.001441
6,99,1,95,5,0.95,0.99,0.510309,0.99,0.489691,0.673469,0.97,1.020619,0.001489
7,99,1,94,6,0.94,0.99,0.512953,0.99,0.487047,0.675768,0.965,1.025907,0.001508
8,99,1,93,7,0.93,0.99,0.515625,0.99,0.484375,0.678082,0.96,1.03125,0.001737
9,99,1,92,8,0.92,0.99,0.518325,0.99,0.481675,0.680412,0.955,1.036649,0.001774
10,99,1,91,9,0.91,0.99,0.521053,0.99,0.478947,0.682759,0.95,1.042105,0.00208
11,99,1,90,10,0.9,0.99,0.52381,0.99,0.47619,0.685121,0.945,1.047619,0.002239
12,99,1,89,11,0.89,0.99,0.526596,0.99,0.473404,0.6875,0.94,1.053191,0.002301
13,99,1,88,12,0.88,0.99,0.529412,0.99,0.470588,0.689895,0.935,1.058824,0.002386
14,98,2,88,12,0.88,0.98,0.526882,0.98,0.473118,0.685315,0.93,1.053763,0.00256
15,98,2,87,13,0.87,0.98,0.52973,0.98,0.47027,0.687719,0.925,1.059459,0.002689
16,98,2,86,14,0.86,0.98,0.532609,0.98,0.467391,0.690141,0.92,1.065217,0.003169
17,98,2,85,15,0.85,0.98,0.535519,0.98,0.464481,0.69258,0.915,1.071038,0.003447
18,98,2,84,16,0.84,0.98,0.538462,0.98,0.461538,0.695035,0.91,1.076923,0.003569
19,98,2,83,17,0.83,0.98,0.541436,0.98,0.458564,0.697509,0.905,1.082873,0.003911
20,97,3,83,17,0.83,0.97,0.538889,0.97,0.461111,0.692857,0.9,1.077778,0.004377
21,97,3,82,18,0.82,0.97,0.541899,0.97,0.458101,0.695341,0.895,1.083799,0.00473
22,97,3,81,19,0.81,0.97,0.544944,0.97,0.455056,0.697842,0.89,1.089888,0.004838
