@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,100,0,100,0,1,1,0.5,1,0.5,0.666667,1,1,0
1,92,8,38,62,0.38,0.92,0.707692,0.92,0.292308,0.8,0.65,1.415385,0.034483
2,92,8,35,65,0.35,0.92,0.724409,0.92,0.275591,0.810573,0.635,1.448819,0.037037
3,91,9,34,66,0.34,0.91,0.728,0.91,0.272,0.808889,0.625,1.456,0.083333
4,91,9,32,68,0.32,0.91,0.739837,0.91,0.260163,0.816143,0.615,1.479675,0.090909
5,91,9,28,72,0.28,0.91,0.764706,0.91,0.235294,0.83105,0.595,1.529412,0.1
6,91,9,26,74,0.26,0.91,0.777778,0.91,0.222222,0.83871,0.585,1.555556,0.153846
7,89,11,23,77,0.23,0.89,0.794643,0.89,0.205357,0.839623,0.56,1.589286,0.166667
8,88,12,22,78,0.22,0.88,0.8,0.88,0.2,0.838095,0.55,1.6,0.172414
9,86,14,17,83,0.17,0.86,0.834951,0.86,0.165049,0.847291,0.515,1.669903,0.181818
10,86,14,15,85,0.15,0.86,0.851485,0.86,0.148515,0.855721,0.505,1.70297,0.193548
11,86,14,12,88,0.12,0.86,0.877551,0.86,0.122449,0.868687,0.49,1.755102,0.208333
12,86,14,10,90,0.1,0.86,0.895833,0.86,0.104167,0.877551,0.48,1.791667,0.923077
13,81,19,10,90,0.1,0.81,0.89011,0.81,0.10989,0.848168,0.455,1.78022,0.935484
14,80,20,9,91,0.09,0.8,0.898876,0.8,0.101124,0.846561,0.445,1.797753,0.9375
15,74,26,9,91,0.09,0.74,0.891566,0.74,0.108434,0.808743,0.415,1.783133,0.947368
16,72,28,9,91,0.09,0.72,0.888889,0.72,0.111111,0.79558,0.405,1.777778,0.95
17,66,34,9,91,0.09,0.66,0.88,0.66,0.12,0.754286,0.375,1.76,0.952381
18,64,36,9,91,0.09,0.64,0.876712,0.64,0.123288,0.739884,0.365,1.753425,0.96
19,63,37,9,91,0.09,0.63,0.875,0.63,0.125,0.732558,0.36,1.75,0.970588
20,61,39,5,95,0.05,0.61,0.924242,0.61,0.075758,0.73494,0.33,1.848485,1
21,0,100,0,100,0,0,?,0,?,?,0,?,1.00001
