@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,100,0,100,0,1,1,0.5,1,0.5,0.666667,1,1,0
1,100,0,96,4,0.96,1,0.510204,1,0.489796,0.675676,0.98,1.020408,0.01
2,99,1,88,12,0.88,0.99,0.529412,0.99,0.470588,0.689895,0.935,1.058824,0.02
3,99,1,84,16,0.84,0.99,0.540984,0.99,0.459016,0.699647,0.915,1.081967,0.03
4,99,1,81,19,0.81,0.99,0.55,0.99,0.45,0.707143,0.9,1.1,0.04
5,99,1,76,24,0.76,0.99,0.565714,0.99,0.434286,0.72,0.875,1.131429,0.05
6,99,1,72,28,0.72,0.99,0.578947,0.99,0.421053,0.730627,0.855,1.157895,0.06
7,99,1,69,31,0.69,0.99,0.589286,0.99,0.410714,0.738806,0.84,1.178571,0.07
8,99,1,67,33,0.67,0.99,0.596386,0.99,0.403614,0.744361,0.83,1.192771,0.08
9,99,1,64,36,0.64,0.99,0.607362,0.99,0.392638,0.752852,0.815,1.214724,0.09
10,99,1,58,42,0.58,0.99,0.630573,0.99,0.369427,0.770428,0.785,1.261146,0.1
11,99,1,54,46,0.54,0.99,0.647059,0.99,0.352941,0.782609,0.765,1.294118,0.11
12,98,2,53,47,0.53,0.98,0.649007,0.98,0.350993,0.780876,0.755,1.298013,0.12
13,98,2,51,49,0.51,0.98,0.657718,0.98,0.342282,0.787149,0.745,1.315436,0.13
14,98,2,50,50,0.5,0.98,0.662162,0.98,0.337838,0.790323,0.74,1.324324,0.14
15,98,2,49,51,0.49,0.98,0.666667,0.98,0.333333,0.793522,0.735,1.333333,0.15
16,98,2,48,52,0.48,0.98,0.671233,0.98,0.328767,0.796748,0.73,1.342466,0.16
17,98,2,47,53,0.47,0.98,0.675862,0.98,0.324138,0.8,0.725,1.351724,0.17
18,98,2,46,54,0.46,0.98,0.680556,0.98,0.319444,0.803279,0.72,1.361111,0.18
19,98,2,44,56,0.44,0.98,0.690141,0.98,0.309859,0.809917,0.71,1.380282,0.19
20,98,2,42,58,0.42,0.98,0.7,0.98,0.3,0.816667,0.7,1.4,0.2
21,98,2,37,63,0.37,0.98,0.725926,0.98,0.274074,0.834043,0.675,1.451852,0.21
22,98,2,36,64,0.36,0.98,0.731343,0.98,0.268657,0.837607,0.67,1.462687,0.22
23,97,3,35,65,0.35,0.97,0.734848,0.97,0.265152,0.836207,0.66,1.469697,0.23
24,97,3,33,67,0.33,0.97,0.746154,0.97,0.253846,0.843478,0.65,1.492308,0.24
25,97,3,31,69,0.31,0.97,0.757813,0.97,0.242188,0.850877,0.64,1.515625,0.26
