@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,100,0,100,0,1,1,0.5,1,0.5,0.666667,1,1,0.008333
1,100,0,99,1,0.99,1,0.502513,1,0.497487,0.668896,0.995,1.005025,0.009554
2,100,0,97,3,0.97,1,0.507614,1,0.492386,0.673401,0.985,1.015228,0.014315
3,100,0,96,4,0.96,1,0.510204,1,0.489796,0.675676,0.98,1.020408,0.025767
4,100,0,95,5,0.95,1,0.512821,1,0.487179,0.677966,0.975,1.025641,0.030271
5,100,0,94,6,0.94,1,0.515464,1,0.484536,0.680272,0.97,1.030928,0.035851
6,100,0,93,7,0.93,1,0.518135,1,0.481865,0.682594,0.965,1.036269,0.035983
7,100,0,92,8,0.92,1,0.520833,1,0.479167,0.684932,0.96,1.041667,0.039317
8,100,0,90,10,0.9,1,0.526316,1,0.473684,0.689655,0.95,1.052632,0.041298
9,100,0,89,11,0.89,1,0.529101,1,0.470899,0.692042,0.945,1.058201,0.045192
10,100,0,87,13,0.87,1,0.534759,1,0.465241,0.696864,0.935,1.069519,0.051545
11,100,0,84,16,0.84,1,0.543478,1,0.456522,0.704225,0.92,1.086957,0.052034
12,100,0,83,17,0.83,1,0.546448,1,0.453552,0.706714,0.915,1.092896,0.058498
13,99,1,81,19,0.81,0.99,0.55,0.99,0.45,0.707143,0.9,1.1,0.0596
14,99,1,80,20,0.8,0.99,0.553073,0.99,0.446927,0.709677,0.895,1.106145,0.060653
15,99,1,79,21,0.79,0.99,0.55618,0.99,0.44382,0.71223,0.89,1.11236,0.065394
16,99,1,78,22,0.78,0.99,0.559322,0.99,0.440678,0.714801,0.885,1.118644,0.070351
17,99,1,76,24,0.76,0.99,0.565714,0.99,0.434286,0.72,0.875,1.131429,0.073352
18,98,2,75,25,0.75,0.98,0.566474,0.98,0.433526,0.717949,0.865,1.132948,0.076075
19,98,2,74,26,0.74,0.98,0.569767,0.98,0.430233,0.720588,0.86,1.139535,0.076288
20,98,2,73,27,0.73,0.98,0.573099,0.98,0.426901,0.723247,0.855,1.146199,0.098327
21,98,2,72,28,0.72,0.98,0.576471,0.98,0.423529,0.725926,0.85,1.152941,0.101453
22,98,2,71,29,0.71,0.98,0.579882,0.98,0.420118,0.728625,0.845,1.159763,0.103846
23,98,2,69,31,0.69,0.98,0.586826,0.98,0.413174,0.734082,0.835,1.173653,0.104259
24,98,2,68,32,0.68,0.98,0.590361,0.98,0.409639,0.736842,0.83,1.180723,0.104965
25,98,2,67,33,0.67,0.98,0.593939,0.98,0.406061,0.739623,0.825,1.187879,0.10778
26,98,2,66,34,0.66,0.98,0.597561,0.98,0.402439,0.742424,0.82,1.195122,0.108867
27,98,2,65,35,0.65,0.98,0.601227,0.98,0.398773,0.745247,0.815,1.202454,0.112524
28,98,2,64,36,0.64,0.98,0.604938,0.98,0.395062,0.748092,0.81,1.209877,0.113478
29,98,2,63,37,0.63,0.98,0.608696,0.98,0.391304,0.750958,0.805,1.217391,0.116549
30,98,2,62,38,0.62,0.98,0.6125,0.98,0.3875,0.753846,0.8,1.225,0.118545
31,97,3,62,38,0.62,0.97,0.610063,0.97,0.389937,0.749035,0.795,1.220126,0.122256
32,97,3,61,39,0.61,0.97,0.613924,0.97,0.386076,0.751938,0.79,1.227848,0.123153
33,97,3,59,41,0.59,0.97,0.621795,0.97,0.378205,0.757813,0.78,1.24359,0.134858
34,97,3,58,42,0.58,0.97,0.625806,0.97,0.374194,0.760784,0.775,1.251613,0.139115
35,97,3,57,43,0.57,0.97,0.62987,0.97,0.37013,0.76378,0.77,1.25974,0.142811
36,97,3,55,45,0.55,0.97,0.638158,0.97,0.361842,0.769841,0.76,1.276316,0.149113
37,97,3,54,46,0.54,0.97,0.642384,0.97,0.357616,0.772908,0.755,1.284768,0.151632
38,95,5,52,48,0.52,0.95,0.646259,0.95,0.353741,0.769231,0.735,1.292517,0.153856
39,95,5,51,49,0.51,0.95,0.650685,0.95,0.349315,0.772358,0.73,1.30137,0.157099
40,95,5,50,50,0.5,0.95,0.655172,0.95,0.344828,0.77551,0.725,1.310345,0.166678
41,95,5,49,51,0.49,0.95,0.659722,0.95,0.340278,0.778689,0.72,1.319444,0.170058
42,95,5,48,52,0.48,0.95,0.664336,0.95,0.335664,0.781893,0.715,1.328671,0.182111
43,95,5,47,53,0.47,0.95,0.669014,0.95,0.330986,0.785124,0.71,1.338028,0.187568
44,95,5,46,54,0.46,0.95,0.673759,0.95,0.326241,0.788382,0.705,1.347518,0.196718
45,95,5,45,55,0.45,0.95,0.678571,0.95,0.321429,0.791667,0.7,1.357143,0.202677
46,95,5,44,56,0.44,0.95,0.683453,0.95,0.316547,0.794979,0.695,1.366906,0.209524
47,95,5,43,57,0.43,0.95,0.688406,0.95,0.311594,0.798319,0.69,1.376812,0.216924
48,95,5,41,59,0.41,0.95,0.698529,0.95,0.301471,0.805085,0.68,1.397059,0.217796
49,95,5,40,60,0.4,0.95,0.703704,0.95,0.296296,0.808511,0.675,1.407407,0.225767
50,95,5,39,61,0.39,0.95,0.708955,0.95,0.291045,0.811966,0.67,1.41791,0.243778
51,95,5,36,64,0.36,0.95,0.725191,0.95,0.274809,0.822511,0.655,1.450382,0.247387
52,95,5,35,65,0.35,0.95,0.730769,0.95,0.269231,0.826087,0.65,1.461538,0.263575
53,95,5,34,66,0.34,0.95,0.736434,0.95,0.263566,0.829694,0.645,1.472868,0.265035
54,95,5,33,67,0.33,0.95,0.742188,0.95,0.257813,0.833333,0.64,1.484375,0.265459
55,95,5,32,68,0.32,0.95,0.748031,0.95,0.251969,0.837004,0.635,1.496063,0.272235
56,94,6,32,68,0.32,0.94,0.746032,0.94,0.253968,0.831858,0.63,1.492063,0.274026
57,93,7,32,68,0.32,0.93,0.744,0.93,0.256,0.826667,0.625,1.488,0.27455
58,93,7,31,69,0.31,0.93,0.75,0.93,0.25,0.830357,0.62,1.5,0.278832
59,93,7,30,70,0.3,0.93,0.756098,0.93,0.243902,0.834081,0.615,1.512195,0.292857
60,92,8,30,70,0.3,0.92,0.754098,0.92,0.245902,0.828829,0.61,1.508197,0.295203
61,92,8,29,71,0.29,0.92,0.760331,0.92,0.239669,0.832579,0.605,1.520661,0.29622
62,92,8,28,72,0.28,0.92,0.766667,0.92,0.233333,0.836364,0.6,1.533333,0.300405
63,91,9,28,72,0.28,0.91,0.764706,0.91,0.235294,0.83105,0.595,1.529412,0.304222
64,91,9,27,73,0.27,0.91,0.771186,0.91,0.228814,0.834862,0.59,1.542373,0.322903
65,91,9,25,75,0.25,0.91,0.784483,0.91,0.215517,0.842593,0.58,1.568966,0.325637
66,91,9,24,76,0.24,0.91,0.791304,0.91,0.208696,0.846512,0.575,1.582609,0.327584
67,91,9,23,77,0.23,0.91,0.798246,0.91,0.201754,0.850467,0.57,1.596491,0.339587
68,91,9,22,78,0.22,0.91,0.80531,0.91,0.19469,0.85446,0.565,1.610619,0.357362
69,91,9,21,79,0.21,0.91,0.8125,0.91,0.1875,0.858491,0.56,1.625,0.362983
70,91,9,20,80,0.2,0.91,0.81982,0.91,0.18018,0.862559,0.555,1.63964,0.367
71,90,10,20,80,0.2,0.9,0.818182,0.9,0.181818,0.857143,0.55,1.636364,0.388355
72,90,10,19,81,0.19,0.9,0.825688,0.9,0.174312,0.861244,0.545,1.651376,0.405616
73,90,10,18,82,0.18,0.9,0.833333,0.9,0.166667,0.865385,0.54,1.666667,0.420713
74,90,10,17,83,0.17,0.9,0.841121,0.9,0.158879,0.869565,0.535,1.682243,0.435012
75,89,11,17,83,0.17,0.89,0.839623,0.89,0.160377,0.864078,0.53,1.679245,0.443936
76,88,12,17,83,0.17,0.88,0.838095,0.88,0.161905,0.858537,0.525,1.67619,0.472613
77,87,13,17,83,0.17,0.87,0.836538,0.87,0.163462,0.852941,0.52,1.673077,0.480062
78,87,13,16,84,0.16,0.87,0.84466,0.87,0.15534,0.857143,0.515,1.68932,0.493422
79,87,13,15,85,0.15,0.87,0.852941,0.87,0.147059,0.861386,0.51,1.705882,0.498105
80,86,14,15,85,0.15,0.86,0.851485,0.86,0.148515,0.855721,0.505,1.70297,0.500557
81,85,15,15,85,0.15,0.85,0.85,0.85,0.15,0.85,0.5,1.7,0.523874
82,85,15,14,86,0.14,0.85,0.858586,0.85,0.141414,0.854271,0.495,1.717172,0.54573
83,84,16,14,86,0.14,0.84,0.857143,0.84,0.142857,0.848485,0.49,1.714286,0.562786
84,83,17,14,86,0.14,0.83,0.85567,0.83,0.14433,0.84264,0.485,1.71134,0.567797
85,82,18,14,86,0.14,0.82,0.854167,0.82,0.145833,0.836735,0.48,1.708333,0.578721
86,82,18,12,88,0.12,0.82,0.87234,0.82,0.12766,0.845361,0.47,1.744681,0.587372
87,81,19,12,88,0.12,0.81,0.870968,0.81,0.129032,0.839378,0.465,1.741935,0.588336
88,80,20,12,88,0.12,0.8,0.869565,0.8,0.130435,0.833333,0.46,1.73913,0.601787
89,80,20,11,89,0.11,0.8,0.879121,0.8,0.120879,0.837696,0.455,1.758242,0.649453
90,79,21,11,89,0.11,0.79,0.877778,0.79,0.122222,0.831579,0.45,1.755556,0.660019
91,79,21,9,91,0.09,0.79,0.897727,0.79,0.102273,0.840426,0.44,1.795455,0.665928
92,78,22,9,91,0.09,0.78,0.896552,0.78,0.103448,0.834225,0.435,1.793103,0.674026
93,77,23,9,91,0.09,0.77,0.895349,0.77,0.104651,0.827957,0.43,1.790698,0.691528
94,75,25,9,91,0.09,0.75,0.892857,0.75,0.107143,0.815217,0.42,1.785714,0.695593
95,74,26,9,91,0.09,0.74,0.891566,0.74,0.108434,0.808743,0.415,1.783133,0.740699
96,73,27,9,91,0.09,0.73,0.890244,0.73,0.109756,0.802198,0.41,1.780488,0.741469
97,72,28,9,91,0.09,0.72,0.888889,0.72,0.111111,0.79558,0.405,1.777778,0.743777
98,71,29,9,91,0.09,0.71,0.8875,0.71,0.1125,0.788889,0.4,1.775,0.74697
99,71,29,7,93,0.07,0.71,0.910256,0.71,0.089744,0.797753,0.39,1.820513,0.75584
100,70,30,7,93,0.07,0.7,0.909091,0.7,0.090909,0.79096,0.385,1.818182,0.764762
101,69,31,7,93,0.07,0.69,0.907895,0.69,0.092105,0.784091,0.38,1.815789,0.765131
102,68,32,7,93,0.07,0.68,0.906667,0.68,0.093333,0.777143,0.375,1.813333,0.767659
103,68,32,6,94,0.06,0.68,0.918919,0.68,0.081081,0.781609,0.37,1.837838,0.772216
104,67,33,6,94,0.06,0.67,0.917808,0.67,0.082192,0.774566,0.365,1.835616,0.775347
105,66,34,6,94,0.06,0.66,0.916667,0.66,0.083333,0.767442,0.36,1.833333,0.776144
106,65,35,6,94,0.06,0.65,0.915493,0.65,0.084507,0.760234,0.355,1.830986,0.778852
107,64,36,6,94,0.06,0.64,0.914286,0.64,0.085714,0.752941,0.35,1.828571,0.793838
108,62,38,6,94,0.06,0.62,0.911765,0.62,0.088235,0.738095,0.34,1.823529,0.794022
109,62,38,5,95,0.05,0.62,0.925373,0.62,0.074627,0.742515,0.335,1.850746,0.795084
110,61,39,5,95,0.05,0.61,0.924242,0.61,0.075758,0.73494,0.33,1.848485,0.80395
111,58,42,5,95,0.05,0.58,0.920635,0.58,0.079365,0.711656,0.315,1.84127,0.807776
112,56,44,5,95,0.05,0.56,0.918033,0.56,0.081967,0.695652,0.305,1.836066,0.833438
113,55,45,5,95,0.05,0.55,0.916667,0.55,0.083333,0.6875,0.3,1.833333,0.840446
114,54,46,5,95,0.05,0.54,0.915254,0.54,0.084746,0.679245,0.295,1.830508,0.845804
115,53,47,5,95,0.05,0.53,0.913793,0.53,0.086207,0.670886,0.29,1.827586,0.854232
116,52,48,5,95,0.05,0.52,0.912281,0.52,0.087719,0.66242,0.285,1.824561,0.85621
117,52,48,4,96,0.04,0.52,0.928571,0.52,0.071429,0.666667,0.28,1.857143,0.863809
118,52,48,3,97,0.03,0.52,0.945455,0.52,0.054545,0.670968,0.275,1.890909,0.866725
119,51,49,3,97,0.03,0.51,0.944444,0.51,0.055556,0.662338,0.27,1.888889,0.867638
120,51,49,2,98,0.02,0.51,0.962264,0.51,0.037736,0.666667,0.265,1.924528,0.868719
121,49,51,2,98,0.02,0.49,0.960784,0.49,0.039216,0.649007,0.255,1.921569,0.869751
122,48,52,2,98,0.02,0.48,0.96,0.48,0.04,0.64,0.25,1.92,0.870341
123,47,53,2,98,0.02,0.47,0.959184,0.47,0.040816,0.630872,0.245,1.918367,0.870819
124,46,54,2,98,0.02,0.46,0.958333,0.46,0.041667,0.621622,0.24,1.916667,0.871074
125,45,55,2,98,0.02,0.45,0.957447,0.45,0.042553,0.612245,0.235,1.914894,0.8742
126,44,56,2,98,0.02,0.44,0.956522,0.44,0.043478,0.60274,0.23,1.913043,0.874477
127,43,57,2,98,0.02,0.43,0.955556,0.43,0.044444,0.593103,0.225,1.911111,0.875347
128,43,57,1,99,0.01,0.43,0.977273,0.43,0.022727,0.597222,0.22,1.954545,0.875495
129,42,58,1,99,0.01,0.42,0.976744,0.42,0.023256,0.587413,0.215,1.953488,0.877411
130,41,59,1,99,0.01,0.41,0.97619,0.41,0.02381,0.577465,0.21,1.952381,0.879079
131,39,61,1,99,0.01,0.39,0.975,0.39,0.025,0.557143,0.2,1.95,0.88125
132,38,62,1,99,0.01,0.38,0.974359,0.38,0.025641,0.546763,0.195,1.948718,0.882579
133,36,64,1,99,0.01,0.36,0.972973,0.36,0.027027,0.525547,0.185,1.945946,0.883921
134,35,65,1,99,0.01,0.35,0.972222,0.35,0.027778,0.514706,0.18,1.944444,0.889641
135,34,66,1,99,0.01,0.34,0.971429,0.34,0.028571,0.503704,0.175,1.942857,0.903679
136,33,67,1,99,0.01,0.33,0.970588,0.33,0.029412,0.492537,0.17,1.941176,0.915446
137,32,68,1,99,0.01,0.32,0.969697,0.32,0.030303,0.481203,0.165,1.939394,0.923144
138,31,69,1,99,0.01,0.31,0.96875,0.31,0.03125,0.469697,0.16,1.9375,0.926227
139,30,70,1,99,0.01,0.3,0.967742,0.3,0.032258,0.458015,0.155,1.935484,0.933451
140,29,71,1,99,0.01,0.29,0.966667,0.29,0.033333,0.446154,0.15,1.933333,0.935832
141,28,72,1,99,0.01,0.28,0.965517,0.28,0.034483,0.434109,0.145,1.931034,0.938959
142,26,74,1,99,0.01,0.26,0.962963,0.26,0.037037,0.409449,0.135,1.925926,0.940213
143,25,75,1,99,0.01,0.25,0.961538,0.25,0.038462,0.396825,0.13,1.923077,0.942692
144,24,76,1,99,0.01,0.24,0.96,0.24,0.04,0.384,0.125,1.92,0.942877
145,23,77,1,99,0.01,0.23,0.958333,0.23,0.041667,0.370968,0.12,1.916667,0.94697
146,23,77,0,100,0,0.23,1,0.23,0,0.373984,0.115,2,0.947089
147,22,78,0,100,0,0.22,1,0.22,0,0.360656,0.11,2,0.947199
148,20,80,0,100,0,0.2,1,0.2,0,0.333333,0.1,2,0.947861
149,16,84,0,100,0,0.16,1,0.16,0,0.275862,0.08,2,0.948879
150,15,85,0,100,0,0.15,1,0.15,0,0.26087,0.075,2,0.950384
151,14,86,0,100,0,0.14,1,0.14,0,0.245614,0.07,2,0.950997
152,13,87,0,100,0,0.13,1,0.13,0,0.230088,0.065,2,0.953695
153,12,88,0,100,0,0.12,1,0.12,0,0.214286,0.06,2,0.95621
154,11,89,0,100,0,0.11,1,0.11,0,0.198198,0.055,2,0.960739
155,10,90,0,100,0,0.1,1,0.1,0,0.181818,0.05,2,0.963507
156,9,91,0,100,0,0.09,1,0.09,0,0.165138,0.045,2,0.963914
157,8,92,0,100,0,0.08,1,0.08,0,0.148148,0.04,2,0.96412
158,7,93,0,100,0,0.07,1,0.07,0,0.130841,0.035,2,0.967717
159,4,96,0,100,0,0.04,1,0.04,0,0.076923,0.02,2,0.96915
160,3,97,0,100,0,0.03,1,0.03,0,0.058252,0.015,2,0.969628
161,2,98,0,100,0,0.02,1,0.02,0,0.039216,0.01,2,0.980336
162,1,99,0,100,0,0.01,1,0.01,0,0.019802,0.005,?,0.981252
163,0,100,0,100,0,0,?,0,?,?,0,?,0.981262
