@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,100,0,100,0,1,1,0.5,1,0.5,0.666667,1,1,0.038501
1,99,1,100,0,1,0.99,0.497487,0.99,0.502513,0.662207,0.995,0.994975,0.061892
2,99,1,99,1,0.99,0.99,0.5,0.99,0.5,0.66443,0.99,1,0.064995
3,99,1,98,2,0.98,0.99,0.502538,0.99,0.497462,0.666667,0.985,1.005076,0.095598
4,99,1,97,3,0.97,0.99,0.505102,0.99,0.494898,0.668919,0.98,1.010204,0.162744
5,99,1,95,5,0.95,0.99,0.510309,0.99,0.489691,0.673469,0.97,1.020619,0.162848
6,99,1,94,6,0.94,0.99,0.512953,0.99,0.487047,0.675768,0.965,1.025907,0.170161
7,99,1,93,7,0.93,0.99,0.515625,0.99,0.484375,0.678082,0.96,1.03125,0.179099
8,99,1,87,13,0.87,0.99,0.532258,0.99,0.467742,0.692308,0.93,1.064516,0.181855
9,99,1,86,14,0.86,0.99,0.535135,0.99,0.464865,0.694737,0.925,1.07027,0.181967
10,99,1,85,15,0.85,0.99,0.538043,0.99,0.461957,0.697183,0.92,1.076087,0.195394
11,99,1,84,16,0.84,0.99,0.540984,0.99,0.459016,0.699647,0.915,1.081967,0.209671
12,99,1,82,18,0.82,0.99,0.546961,0.99,0.453039,0.704626,0.905,1.093923,0.214778
13,98,2,81,19,0.81,0.98,0.547486,0.98,0.452514,0.702509,0.895,1.094972,0.218185
14,97,3,80,20,0.8,0.97,0.548023,0.97,0.451977,0.700361,0.885,1.096045,0.218894
15,96,4,78,22,0.78,0.96,0.551724,0.96,0.448276,0.70073,0.87,1.103448,0.224984
16,96,4,75,25,0.75,0.96,0.561404,0.96,0.438596,0.708487,0.855,1.122807,0.227094
17,96,4,72,28,0.72,0.96,0.571429,0.96,0.428571,0.716418,0.84,1.142857,0.227864
18,96,4,70,30,0.7,0.96,0.578313,0.96,0.421687,0.721805,0.83,1.156627,0.233032
19,96,4,67,33,0.67,0.96,0.588957,0.96,0.411043,0.730038,0.815,1.177914,0.241252
20,96,4,64,36,0.64,0.96,0.6,0.96,0.4,0.738462,0.8,1.2,0.256815
21,94,6,62,38,0.62,0.94,0.602564,0.94,0.397436,0.734375,0.78,1.205128,0.279808
22,93,7,58,42,0.58,0.93,0.615894,0.93,0.384106,0.741036,0.755,1.231788,0.280985
23,92,8,58,42,0.58,0.92,0.613333,0.92,0.386667,0.736,0.75,1.226667,0.307187
24,90,10,54,46,0.54,0.9,0.625,0.9,0.375,0.737705,0.72,1.25,0.310908
25,87,13,53,47,0.53,0.87,0.621429,0.87,0.378571,0.725,0.7,1.242857,0.320745
26,86,14,51,49,0.51,0.86,0.627737,0.86,0.372263,0.725738,0.685,1.255474,0.331222
27,86,14,49,51,0.49,0.86,0.637037,0.86,0.362963,0.731915,0.675,1.274074,0.345693
28,86,14,47,53,0.47,0.86,0.646617,0.86,0.353383,0.738197,0.665,1.293233,0.346537
29,86,14,42,58,0.42,0.86,0.671875,0.86,0.328125,0.754386,0.64,1.34375,0.352048
30,85,15,38,62,0.38,0.85,0.691057,0.85,0.308943,0.762332,0.615,1.382114,0.365823
31,85,15,36,64,0.36,0.85,0.702479,0.85,0.297521,0.769231,0.605,1.404959,0.388453
32,85,15,34,66,0.34,0.85,0.714286,0.85,0.285714,0.776256,0.595,1.428571,0.404643
33,85,15,31,69,0.31,0.85,0.732759,0.85,0.267241,0.787037,0.58,1.465517,0.423859
34,85,15,26,74,0.26,0.85,0.765766,0.85,0.234234,0.805687,0.555,1.531532,0.432632
35,83,17,26,74,0.26,0.83,0.761468,0.83,0.238532,0.794258,0.545,1.522936,0.441196
36,81,19,26,74,0.26,0.81,0.757009,0.81,0.242991,0.782609,0.535,1.514019,0.454345
37,80,20,26,74,0.26,0.8,0.754717,0.8,0.245283,0.776699,0.53,1.509434,0.489996
38,79,21,19,81,0.19,0.79,0.806122,0.79,0.193878,0.79798,0.49,1.612245,0.521406
39,77,23,19,81,0.19,0.77,0.802083,0.77,0.197917,0.785714,0.48,1.604167,0.545118
40,77,23,17,83,0.17,0.77,0.819149,0.77,0.180851,0.793814,0.47,1.638298,0.637903
