@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,100,0,100,0,1,1,0.5,1,0.5,0.666667,1,1,0
1,99,1,98,2,0.98,0.99,0.502538,0.99,0.497462,0.666667,0.985,1.005076,0.012987
2,99,1,92,8,0.92,0.99,0.518325,0.99,0.481675,0.680412,0.955,1.036649,0.013158
3,99,1,82,18,0.82,0.99,0.546961,0.99,0.453039,0.704626,0.905,1.093923,0.035294
4,96,4,72,28,0.72,0.96,0.571429,0.96,0.428571,0.716418,0.84,1.142857,0.035714
5,96,4,62,38,0.62,0.96,0.607595,0.96,0.392405,0.744186,0.79,1.21519,0.047059
6,96,4,55,45,0.55,0.96,0.635762,0.96,0.364238,0.76494,0.755,1.271523,0.047619
7,95,5,38,62,0.38,0.95,0.714286,0.95,0.285714,0.815451,0.665,1.428571,0.065934
8,95,5,30,70,0.3,0.95,0.76,0.95,0.24,0.844444,0.625,1.52,0.067416
9,94,6,21,79,0.21,0.94,0.817391,0.94,0.182609,0.874419,0.575,1.634783,0.078652
10,94,6,11,89,0.11,0.94,0.895238,0.94,0.104762,0.917073,0.525,1.790476,0.166667
11,94,6,9,91,0.09,0.94,0.912621,0.94,0.087379,0.926108,0.515,1.825243,0.25
12,91,9,9,91,0.09,0.91,0.91,0.91,0.09,0.91,0.5,1.82,0.333333
13,91,9,7,93,0.07,0.91,0.928571,0.91,0.071429,0.919192,0.49,1.857143,0.895833
14,82,18,7,93,0.07,0.82,0.921348,0.82,0.078652,0.867725,0.445,1.842697,0.905263
15,72,28,5,95,0.05,0.72,0.935065,0.72,0.064935,0.813559,0.385,1.87013,0.90625
16,62,38,5,95,0.05,0.62,0.925373,0.62,0.074627,0.742515,0.335,1.850746,0.913978
17,52,48,5,95,0.05,0.52,0.912281,0.52,0.087719,0.66242,0.285,1.824561,0.915789
18,45,55,5,95,0.05,0.45,0.9,0.45,0.1,0.6,0.25,1.8,0.922222
19,35,65,4,96,0.04,0.35,0.897436,0.35,0.102564,0.503597,0.195,1.794872,0.923077
20,26,74,3,97,0.03,0.26,0.896552,0.26,0.103448,0.403101,0.145,1.793103,0.94382
21,16,84,1,99,0.01,0.16,0.941176,0.16,0.058824,0.273504,0.085,1.882353,0.974684
22,8,92,1,99,0.01,0.08,0.888889,0.08,0.111111,0.146789,0.045,1.777778,0.985507
23,3,97,1,99,0.01,0.03,0.75,0.03,0.25,0.057692,0.02,1.5,1
24,0,100,0,100,0,0,?,0,?,?,0,?,1.00001
