@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,100,0,100,0,1,1,0.5,1,0.5,0.666667,1,1,0.084312
1,100,0,99,1,0.99,1,0.502513,1,0.497487,0.668896,0.995,1.005025,0.086049
2,99,1,99,1,0.99,0.99,0.5,0.99,0.5,0.66443,0.99,1,0.086152
3,99,1,98,2,0.98,0.99,0.502538,0.99,0.497462,0.666667,0.985,1.005076,0.088596
4,99,1,97,3,0.97,0.99,0.505102,0.99,0.494898,0.668919,0.98,1.010204,0.091493
5,99,1,96,4,0.96,0.99,0.507692,0.99,0.492308,0.671186,0.975,1.015385,0.092239
6,99,1,95,5,0.95,0.99,0.510309,0.99,0.489691,0.673469,0.97,1.020619,0.094532
7,99,1,94,6,0.94,0.99,0.512953,0.99,0.487047,0.675768,0.965,1.025907,0.09792
8,99,1,93,7,0.93,0.99,0.515625,0.99,0.484375,0.678082,0.96,1.03125,0.098441
9,99,1,92,8,0.92,0.99,0.518325,0.99,0.481675,0.680412,0.955,1.036649,0.099155
10,99,1,91,9,0.91,0.99,0.521053,0.99,0.478947,0.682759,0.95,1.042105,0.100588
11,99,1,90,10,0.9,0.99,0.52381,0.99,0.47619,0.685121,0.945,1.047619,0.100722
12,99,1,89,11,0.89,0.99,0.526596,0.99,0.473404,0.6875,0.94,1.053191,0.102388
13,99,1,88,12,0.88,0.99,0.529412,0.99,0.470588,0.689895,0.935,1.058824,0.105669
14,99,1,87,13,0.87,0.99,0.532258,0.99,0.467742,0.692308,0.93,1.064516,0.106007
15,99,1,86,14,0.86,0.99,0.535135,0.99,0.464865,0.694737,0.925,1.07027,0.106526
16,99,1,85,15,0.85,0.99,0.538043,0.99,0.461957,0.697183,0.92,1.076087,0.107334
17,99,1,84,16,0.84,0.99,0.540984,0.99,0.459016,0.699647,0.915,1.081967,0.107544
18,99,1,83,17,0.83,0.99,0.543956,0.99,0.456044,0.702128,0.91,1.087912,0.108047
19,99,1,82,18,0.82,0.99,0.546961,0.99,0.453039,0.704626,0.905,1.093923,0.109552
